Transaction_Id,Date,Merchant,Category,Amount,Type,Account
TXN-1001,2026-05-01,Salary Monthly,Income,5000.00,income,Bank
TXN-1002,2026-05-01,Apartment Rent,Housing & Rent,1600.00,expense,Bank
TXN-1003,2026-05-02,Whole Foods,Food & Dining,84.20,expense,Credit Card
TXN-1004,2026-05-02,Chevron Gas,Transportation,45.00,expense,Credit Card
TXN-1005,2026-05-03,Starbucks,Food & Dining,6.75,expense,Cash
TXN-1006,2026-05-04,Netflix,Entertainment,19.99,expense,Credit Card
TXN-1007,2026-05-05,Electricity Bill,Utilities & Bills,120.50,expense,Bank
TXN-1008,2026-05-05,Water District,Utilities & Bills,45.00,expense,Bank
TXN-1009,2026-05-06,Trader Joes,Food & Dining,62.30,expense,Credit Card
TXN-1010,2026-05-07,Local Cinema,Entertainment,25.00,expense,Cash
TXN-1011,2026-05-08,Uber Ride,Transportation,18.50,expense,Credit Card
TXN-1012,2026-05-08,Amazon Gadgets,Others,110.00,expense,Credit Card
TXN-1013,2026-05-09,Taco Bell,Food & Dining,12.40,expense,Cash
TXN-1014,2026-05-10,Steam Game Store,Entertainment,59.99,expense,Credit Card
TXN-1015,2026-05-11,Monthly Subway Pass,Transportation,90.00,expense,Bank
TXN-1016,2026-05-12,Internet Provider,Utilities & Bills,79.99,expense,Bank
TXN-1017,2026-05-13,Target Home Decor,Others,85.00,expense,Credit Card
TXN-1018,2026-05-14,Whole Foods,Food & Dining,95.60,expense,Credit Card
TXN-1019,2026-05-15,Dividend Payout,Income,150.00,income,Bank
TXN-1020,2026-05-15,Spotify Premium,Entertainment,9.99,expense,Credit Card
TXN-1021,2026-05-16,Gym Membership,Others,50.00,expense,Bank
TXN-1022,2026-05-17,Chevron Gas,Transportation,48.00,expense,Credit Card
TXN-1023,2026-05-18,Local Diner,Food & Dining,35.00,expense,Cash
TXN-1024,2026-05-19,Mobile Data Plan,Utilities & Bills,45.00,expense,Credit Card
TXN-1025,2026-05-20,Trader Joes,Food & Dining,54.10,expense,Credit Card
TXN-1026,2026-05-21,Concert Ticket,Entertainment,120.00,expense,Credit Card
TXN-1027,2026-05-22,Uber Ride,Transportation,22.00,expense,Credit Card
TXN-1028,2026-05-23,Bookstore,Others,30.00,expense,Cash
TXN-1029,2026-05-24,Starbucks,Food & Dining,7.20,expense,Cash
TXN-1030,2026-05-25,Whole Foods,Food & Dining,112.40,expense,Credit Card
TXN-1031,2026-05-26,Gas Bill,Utilities & Bills,65.00,expense,Bank
TXN-1032,2026-05-27,Pharmacy,Others,24.50,expense,Credit Card
TXN-1033,2026-05-28,McDonalds,Food & Dining,14.20,expense,Cash
TXN-1034,2026-05-28,Bowling Alley,Entertainment,40.00,expense,Credit Card
TXN-1035,2026-05-29,Trash Collection,Utilities & Bills,25.00,expense,Bank
TXN-1036,2026-05-30,Chevron Gas,Transportation,44.00,expense,Credit Card
TXN-1037,2026-05-31,Freelance Writing,Income,650.00,income,Bank
TXN-1038,2026-05-31,Subway Restaurant,Food & Dining,9.50,expense,Cash
TXN-1039,2026-06-01,Salary Monthly,Income,5000.00,income,Bank
TXN-1040,2026-06-01,Apartment Rent,Housing & Rent,1600.00,expense,Bank
TXN-1041,2026-06-02,Whole Foods,Food & Dining,92.10,expense,Credit Card
TXN-1042,2026-06-02,Chevron Gas,Transportation,47.00,expense,Credit Card
